fixture,opponent_team,total_points,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
44,9,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-7917,15900,230,8147
53,10,0,5,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-4406,11717,44,4450
9,14,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,75605,0,0
14,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-48,83386,3011,3059
30,19,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-795,85325,3927,4722
34,11,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-956,86244,3485,4441
44,9,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-1234,86227,2576,3810
53,10,0,5,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-1820,85568,2326,4146
9,14,7,1,2,1,90,0,1,0,1,0,0,0,0,0,0,2,20,24.8,34.9,52,11.2,65,0,34057,0,0
14,15,2,0,0,2,90,0,0,1,0,0,0,0,0,0,0,0,6,2.4,12.5,24,3.9,65,40595,109278,50818,10223
30,19,5,0,2,3,90,0,1,1,0,0,0,0,0,0,0,0,15,4.6,17.7,6,2.8,65,13282,132851,44746,31464
34,11,2,1,0,4,87,0,0,1,0,0,0,0,0,0,0,0,7,6.8,26.3,2,3.5,65,34199,179230,59110,24911
44,9,1,2,1,5,27,0,0,0,0,0,0,0,0,0,0,0,3,1,10.8,36,4.8,65,-7345,176365,27242,34587
53,10,5,5,2,6,90,0,1,0,2,0,0,0,0,0,0,0,15,5.6,2.2,75,8.3,65,-38794,140133,10066,48860
9,14,15,1,2,1,90,2,0,0,1,0,0,0,0,0,0,3,44,72,19.3,76,16.7,55,0,13469,0,0
14,15,3,0,0,2,90,0,0,1,0,0,0,0,0,0,0,0,7,9.6,45.2,19,7.4,56,254564,403559,279157,24593
30,19,6,0,2,3,90,0,1,1,0,0,0,0,0,0,0,0,24,36.2,33.8,2,7.2,57,263956,725950,359928,95972
34,11,11,1,0,4,90,1,0,1,0,0,0,0,0,0,0,3,40,46.2,32.5,28,10.7,57,202703,969426,294441,91738
44,9,2,2,1,5,90,0,0,0,2,0,0,0,0,0,0,0,6,11.8,6,11,2.9,58,688858,1724176,737577,48719
53,10,5,5,2,6,90,0,1,0,2,0,0,0,0,0,0,0,34,38.2,65.7,23,12.7,59,792273,2570832,898627,106354
4,12,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,45,0,24578,100,121
20,20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-1534,25263,946,2480
24,4,1,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0,0,0,45,-3089,23206,575,3664
31,1,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-2180,21796,395,2575
44,5,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-1981,20082,210,2191
59,18,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-1768,18565,168,1936
9,14,2,1,2,1,90,0,0,0,1,0,0,0,0,0,0,0,9,12.2,0.1,4,1.6,45,0,147708,0,0
14,15,7,0,0,2,90,0,0,1,0,0,0,0,0,0,0,1,28,13.6,0.3,0,1.4,45,16676,191803,27794,11118
30,19,6,0,2,3,90,0,0,1,0,0,0,0,0,0,0,0,26,25.4,0.2,0,2.6,45,35452,242328,58819,23367
34,11,7,1,0,4,90,0,0,1,0,0,0,0,0,0,0,1,22,4.8,10.6,6,2.1,45,58249,318597,81663,23414
44,9,-1,2,1,5,90,0,0,0,2,1,0,0,0,0,0,0,4,10.2,1.1,0,1.1,46,211721,559364,236194,24473
53,10,1,5,2,6,90,0,0,0,2,0,0,0,0,0,0,0,15,16.6,0.7,22,3.9,46,16094,576291,72206,56112
9,14,5,1,2,1,90,0,1,0,1,0,0,0,0,0,0,0,15,10.2,2.8,19,3.2,50,0,7192,0,0
14,15,2,0,0,2,74,0,0,1,0,0,0,0,1,0,0,0,10,14.2,27.4,47,8.9,50,15970,31122,19432,3462
30,19,3,0,2,3,84,0,0,1,0,0,0,0,0,0,0,0,13,16,8.8,10,3.5,50,7409,40024,16123,8714
34,11,3,1,0,4,69,0,0,1,0,0,0,0,0,0,0,0,1,9.6,14.8,47,7.1,50,-1436,39492,6294,7730
44,9,2,2,1,5,90,0,0,0,2,0,0,0,0,0,0,0,10,8.8,8.6,10,2.7,50,2309,42933,9272,6963
53,10,5,5,2,6,90,0,1,0,2,0,0,0,0,0,0,0,16,13,17.2,69,9.9,50,89,43897,6830,6741
9,14,2,1,2,1,90,0,0,0,1,0,0,0,0,0,0,0,12,20.2,1.4,17,3.9,45,0,8977,0,0
14,15,6,0,0,2,90,0,0,1,0,0,0,0,0,0,0,0,19,9.4,1.8,2,1.3,45,2489,15249,3746,1257
30,19,6,0,2,3,90,0,0,1,0,0,0,0,0,0,0,0,22,10,0.9,4,1.5,45,1038,18298,4094,3056
34,11,5,1,0,4,90,0,0,1,0,0,0,0,1,0,0,0,17,17.4,0.4,12,3,45,6482,28006,8993,2511
44,9,1,2,1,5,90,0,0,0,2,0,0,0,0,0,0,0,12,9.8,2.7,4,1.7,45,25398,58436,29886,4488
53,10,1,5,2,6,90,0,0,0,2,0,0,0,0,0,0,0,11,14.4,12.4,0,2.7,45,13393,74328,24886,11493
9,14,2,1,2,1,90,0,0,0,1,0,0,0,0,0,0,0,15,25.4,0.8,0,2.6,45,0,27438,0,0
14,15,8,0,0,2,90,0,0,1,0,0,0,0,0,0,0,2,30,20.2,1.3,18,4,45,1988,33596,4222,2234
30,19,8,0,2,3,90,0,0,1,0,0,0,0,0,0,0,2,29,32.2,6.6,4,4.3,45,20384,62201,30208,9824
34,11,6,1,0,4,69,0,0,1,0,0,0,0,0,0,0,0,20,3.8,0.5,0,0.4,45,128153,221971,151777,23624
44,9,1,2,1,5,63,0,0,0,2,0,0,0,0,0,0,0,8,5.2,1.8,0,0.7,46,117954,354907,179207,61253
53,10,1,5,2,6,90,0,0,0,2,0,0,0,0,0,0,0,13,6.6,5.6,2,1.4,46,154728,539582,194150,39422
9,14,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,82551,0,0
14,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,-17499,72337,4474,21973
30,19,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,-17960,57573,3730,21690
33,4,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,-9175,51137,4499,13674
45,11,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,-2172,50793,6710,8882
55,12,2,0,0,6,90,0,0,1,0,0,0,0,0,0,0,0,4,5.8,42.5,55,10.3,62,-7411,44481,3462,10873
9,14,1,1,2,1,74,0,0,0,1,0,0,0,1,0,0,0,7,8,40.9,20,6.9,65,0,177238,0,0
14,15,3,0,0,2,74,0,0,1,0,0,0,0,0,0,0,0,4,1.8,3.2,31,3.6,65,4067,203115,27136,23069
30,19,8,0,2,3,90,1,0,1,0,0,0,0,0,0,0,0,25,35.6,26.3,81,14.3,65,-11788,198215,26387,38175
34,11,6,1,0,4,78,0,1,1,0,0,0,0,0,0,0,0,15,19,21.8,32,7.3,65,28568,239745,52808,24240
44,9,2,2,1,5,90,0,0,0,2,0,0,0,0,0,0,0,7,11.4,16.8,25,5.3,65,25305,271436,46240,20935
53,10,12,5,2,6,88,1,1,0,2,0,0,0,0,0,0,2,44,52.6,53.3,27,13.3,65,40340,317447,75929,35589
3,8,0,0,1,1,15,0,0,0,0,0,0,0,1,0,0,0,8,7,19.2,0,2.6,50,0,690746,0,0
15,18,4,2,2,2,90,0,1,0,2,0,0,0,0,0,0,0,21,24.6,26.8,26,7.7,50,-67487,687795,49821,117308
25,11,1,3,0,3,90,0,0,0,3,0,0,0,0,0,0,0,10,6.8,22.8,10,4,50,299794,1064297,389759,89965
35,10,5,2,1,4,90,0,1,0,1,0,0,0,0,0,0,0,24,29.6,24.4,0,5.4,51,-18380,1066705,118768,137148
50,17,1,2,1,5,90,0,0,0,2,0,0,0,0,0,0,0,17,21,13.4,0,3.4,51,248926,1361659,306553,57627
54,19,1,2,1,6,71,0,0,0,1,0,0,0,1,0,0,0,4,6.4,5.5,2,1.4,52,1247,1378132,140985,139738
9,14,4,1,2,1,90,0,0,0,1,0,0,0,0,0,5,1,19,40,0,0,4,45,0,892941,0,0
14,15,6,0,0,2,90,0,0,1,0,0,0,0,0,0,1,0,22,6,0,0,0.6,45,49495,1024877,91093,41598
30,19,8,0,2,3,90,0,0,1,0,0,0,0,0,0,3,1,28,22.8,0,0,2.3,45,71327,1129682,144790,73463
34,11,8,1,0,4,90,0,0,1,0,0,0,0,0,0,2,2,24,19.2,0,0,1.9,46,181486,1352332,235090,53604
44,9,1,2,1,5,90,0,0,0,2,0,0,0,0,0,2,0,15,14.6,0,0,1.5,46,285461,1697107,317016,31555
53,10,1,5,2,6,90,0,0,0,2,0,0,0,0,0,2,0,11,19.6,0,0,2,47,138519,1853775,204123,65604
9,14,1,1,2,1,15,0,0,0,0,0,0,0,0,0,0,0,3,0.2,1,2,0.3,45,0,220176,0,0
14,15,1,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0.3,0,0.1,45,-6442,236247,13119,19561
30,19,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-24737,215845,7041,31778
34,11,1,1,0,4,20,0,0,0,0,0,0,0,0,0,0,0,4,3.2,0,2,0.5,44,-25531,193933,4550,30081
44,9,1,2,1,5,26,0,0,0,0,0,0,0,0,0,0,0,5,11.6,15.2,0,2.7,44,-18307,177311,3233,21540
53,10,1,5,2,6,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,44,-13861,165044,3800,17661
9,14,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,17451,0,0
14,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,252,20710,2541,2289
30,19,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-807,20806,2807,3614
34,11,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-2049,19184,1191,3240
44,9,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-1369,18249,994,2363
53,10,0,5,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-1063,17594,1183,2246
9,14,0,1,2,1,90,0,0,0,1,1,0,0,0,0,0,0,1,0,1.6,9,1.1,55,0,14464,0,0
14,15,2,0,0,2,90,0,0,1,0,0,0,0,1,0,0,0,13,13.2,4,2,1.9,55,-548,16769,2118,2666
30,19,11,0,2,3,90,1,0,1,0,0,0,0,0,0,0,3,36,44.2,6.6,18,6.9,55,-1164,16833,1931,3095
34,11,2,1,0,4,90,0,0,1,0,0,0,0,1,0,0,0,4,10.4,11.8,0,2.2,55,15164,36568,19470,4306
44,9,10,2,1,5,90,1,0,0,2,0,0,0,0,0,0,3,30,48.2,2.3,17,6.8,55,1666,39327,8091,6425
53,10,14,5,2,6,90,2,0,0,2,0,0,0,1,0,0,3,46,77.6,3.3,39,12,55,111733,165483,126082,14349
9,14,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,3484,0,0
14,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-393,3188,148,541
30,19,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-486,2738,113,599
34,11,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-353,2439,72,425
44,9,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-200,2248,61,261
53,10,0,5,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-99,2206,173,272
9,14,1,1,2,1,14,0,0,0,0,0,0,0,0,0,0,0,5,9.2,11.8,0,2.1,55,0,10644,0,0
14,15,1,0,0,2,25,0,0,0,0,0,0,0,0,0,0,0,4,4.4,10.9,6,2.1,55,-1283,11411,833,2116
30,19,1,0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,5,2.2,0.3,4,0.7,54,-1614,10581,767,2381
34,11,1,1,0,4,20,0,0,0,0,0,0,0,0,0,0,0,2,0,0.3,0,0,54,-1402,9636,538,1940
44,9,2,2,1,5,62,0,0,0,2,0,0,0,0,0,0,0,1,7.6,1.4,0,0.9,53,-829,9161,426,1255
53,10,5,5,2,6,83,0,1,0,2,0,0,0,0,0,0,0,12,25.4,14.3,24,6.4,53,-403,9174,710,1113
9,14,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,7761,0,0
14,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,99,9177,1104,1005
30,19,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-345,9370,1126,1471
34,11,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-1664,7760,252,1916
44,9,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-1087,6726,31,1118
53,10,0,5,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-767,5961,48,815
9,14,2,1,2,1,90,0,0,0,1,0,0,0,0,0,0,0,17,24.8,36.8,4,6.6,50,0,7058,0,0
14,15,3,0,0,2,90,0,0,1,0,0,0,0,0,0,0,0,16,16.2,13.8,7,3.7,50,4272,15541,5543,1271
30,19,3,0,2,3,90,0,0,1,0,0,0,0,0,0,0,0,10,6.4,3.3,8,1.8,50,5635,23824,8793,3158
34,11,3,1,0,4,90,0,0,1,0,0,0,0,0,0,0,0,9,10.2,4.7,2,1.7,50,254,25313,4373,4119
44,9,2,2,1,5,78,0,0,0,2,0,0,0,0,0,0,0,8,5,15.3,4,2.4,50,518,27067,3831,3313
53,10,7,5,2,6,90,1,0,0,2,0,0,0,0,0,0,0,32,43,4.8,30,7.8,50,286,28417,3741,3455
9,14,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,830,0,0
14,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-163,657,0,163
30,19,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-88,569,0,88
34,11,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-67,510,0,67
44,9,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-31,477,0,31
53,10,0,5,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-30,451,0,30
9,14,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,1005,0,0
14,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-150,844,0,150
30,19,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-93,757,0,93
34,11,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-56,707,0,56
44,9,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-41,664,0,41
53,10,0,5,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-40,628,0,40
9,14,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,55,0,71544,0,0
14,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,-6866,69223,3543,10409
30,19,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-13492,57152,2788,16280
34,11,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-9739,48522,1837,11576
44,9,1,2,1,5,11,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.3,4,0.4,53,-7003,42398,1942,8945
53,10,1,5,2,6,6,0,0,0,0,0,0,0,0,0,0,0,6,4.2,10.3,2,1.7,52,-6206,36926,2030,8236
9,14,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,3959,0,0
14,15,1,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,11,6.4,11,6,2.3,50,-498,4098,148,646
30,19,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,50,1404,6071,2284,880
34,11,1,1,0,4,11,0,0,0,0,0,0,0,0,0,0,0,7,4.2,1.8,2,0.8,50,-902,5318,230,1132
44,9,1,2,1,5,27,0,0,0,0,0,0,0,0,0,0,0,1,6.6,12.8,0,1.9,50,-712,4891,140,852
53,10,0,5,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-496,4667,164,660
9,14,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,35773,0,0
14,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-3957,37815,3083,7040
30,19,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-4511,35976,3013,7524
34,11,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-3402,34567,2343,5745
44,9,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-2930,32977,1635,4565
53,10,0,5,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-3611,30572,1415,5026
9,14,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,6650,0,0
14,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-219,7509,660,879
30,19,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-510,7438,713,1223
34,11,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-1232,6365,297,1529
44,9,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-1369,5029,0,1369
53,10,0,5,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-838,4210,0,838
3,8,7,0,1,1,90,0,0,1,0,0,0,0,0,0,0,1,30,19,25.9,2,4.7,50,0,106633,0,0
15,18,1,2,2,2,17,0,0,0,1,0,0,0,0,0,0,0,3,2.6,0.3,0,0.3,50,24469,187388,39865,15396
25,11,1,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0.4,0.3,0,0.1,50,-10577,189481,23183,33760
35,10,1,2,1,4,45,0,0,0,1,0,0,0,0,0,0,0,7,12.6,0.6,0,1.3,50,-23210,175940,8869,32079
50,17,1,2,1,5,66,0,0,0,2,0,0,0,0,0,0,0,12,16.2,13.8,0,3,50,-15994,165355,7267,23261
54,19,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-11330,159301,8520,19850
3,8,6,0,1,1,90,0,0,1,0,0,0,0,0,0,0,0,27,25,1.8,0,2.7,55,0,501183,0,0
15,18,1,2,2,2,90,0,0,0,2,0,0,0,0,0,0,0,11,19,11.9,2,3.3,55,-12915,575179,23410,36325
25,11,1,3,0,3,90,0,0,0,3,0,0,0,0,0,0,0,16,15.2,1.1,4,2,55,-30346,574809,20960,51306
35,10,2,2,1,4,90,0,0,0,1,0,0,0,0,0,0,0,21,33.6,1.1,18,5.3,55,-19217,584898,34662,53879
50,17,1,2,1,5,90,0,0,0,2,0,0,0,0,0,0,0,21,42.2,2,8,5.2,55,-20959,582288,20488,41447
54,19,8,2,1,6,90,0,1,0,1,0,0,0,0,0,0,3,33,38.8,13.4,2,5.4,55,-32559,566440,19714,52273
3,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,292906,0,0
15,18,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-92106,215295,2879,94985
25,11,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-77408,139835,282,77690
35,10,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-25380,117681,559,25939
50,17,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-4422,116750,2883,7305
54,19,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-11666,106686,2176,13842
3,8,11,0,1,1,90,1,0,1,0,0,0,0,0,0,0,3,32,39,18.1,19,7.6,60,0,114916,0,0
15,18,2,2,2,2,72,0,0,0,1,0,0,0,0,0,0,0,16,11.2,26.6,8,4.6,60,119058,390946,142572,23514
25,11,2,3,0,3,63,0,0,0,2,0,0,0,0,0,0,0,7,7.2,1.2,0,0.8,60,40628,462155,112743,72115
35,10,2,2,1,4,74,0,0,0,1,0,0,0,0,0,0,0,10,7.2,3.4,0,1.1,60,-79240,394413,21047,100287
50,17,2,2,1,5,66,0,0,0,2,0,0,0,0,0,0,0,14,16.2,2.4,0,1.9,60,-41497,364792,18707,60204
54,19,1,2,1,6,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0.3,0,0,60,-29317,345417,24124,53441
3,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,4870,0,0
15,18,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-749,5482,342,1091
25,11,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-314,5983,765,1079
35,10,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-721,5720,339,1060
50,17,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-461,5548,233,694
54,19,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-701,5054,231,932
3,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,68622,0,0
15,18,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-18803,56880,3769,22572
25,11,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-25100,32245,404,25504
35,10,1,2,1,4,15,0,0,0,0,0,0,0,0,0,0,0,3,2.4,0.5,0,0.3,49,-7127,26435,1017,8144
50,17,1,2,1,5,45,0,0,0,0,0,0,0,0,0,0,0,16,16.2,13,8,3.7,49,1768,30232,4839,3071
54,19,2,2,1,6,71,0,0,0,1,0,0,0,0,0,0,0,13,5.4,15.4,1,2.2,49,1797,34266,5772,3975
3,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,18525,0,0
15,18,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-1662,21569,1012,2674
25,11,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-1931,21374,669,2600
35,10,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-1136,21722,660,1796
50,17,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-809,21743,599,1408
54,19,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-916,21603,591,1507
3,8,3,0,1,1,90,0,0,1,0,0,0,0,0,0,0,0,18,27.4,31.3,9,6.8,50,0,281900,0,0
15,18,2,2,2,2,84,0,0,0,1,0,0,0,0,0,0,0,14,9,17.4,14,4,50,10415,405963,51735,41320
25,11,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-118850,295814,24637,143487
35,10,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-92136,211869,1842,93978
50,17,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-34431,182119,1093,35524
54,19,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-23769,160306,1186,24955
3,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,38232,0,0
15,18,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,-9730,39064,2700,12430
25,11,1,3,0,3,26,0,0,0,1,0,0,0,0,0,0,0,6,5.4,21.7,16,4.3,58,-7432,36212,3610,11042
35,10,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,-5836,33908,1807,7643
50,17,2,2,1,5,90,0,0,0,2,0,0,0,0,0,0,0,11,13.8,13.3,6,3.3,57,-3558,32994,2003,5561
54,19,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,666,37050,5169,4503
3,8,1,0,1,1,25,0,0,0,0,0,0,0,0,0,0,0,1,5.6,0.8,0,0.6,50,0,8103,0,0
15,18,2,2,2,2,90,0,0,0,2,0,0,0,0,0,0,0,13,21.6,25.1,34,8.1,50,-694,8995,376,1070
25,11,2,3,0,3,90,0,0,0,3,0,0,0,0,0,0,0,12,19,12.6,34,6.6,50,7561,19351,10338,2777
35,10,2,2,1,4,90,0,0,0,1,0,0,0,0,0,0,0,9,21.8,2.1,17,4.1,50,-414,19975,3944,4358
50,17,1,2,1,5,45,0,0,0,2,0,0,0,0,0,0,0,6,5.2,1.3,2,0.9,50,1454,22724,4855,3401
54,19,1,2,1,6,82,0,0,0,1,0,0,0,1,0,0,0,10,12.2,9.8,4,2.6,50,-5157,17708,1154,6311
3,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,59796,0,0
15,18,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,-25656,42320,2202,27858
25,11,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,-15177,27968,0,15177
35,10,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,-4534,23994,0,4534
50,17,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,-1612,22501,0,1612
54,19,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,-1248,21286,0,1248
3,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,29579,0,0
15,18,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-2005,34148,1912,3917
25,11,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-2686,34692,2206,4892
35,10,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-2427,34451,1401,3828
50,17,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,5768,46096,9788,4020
