fixture,opponent_team,total_points,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
11,10,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-7090,31604,2174,9264
21,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-6444,27844,2135,8579
31,9,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-6427,22655,889,7316
41,2,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-5267,17547,0,5267
56,14,0,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-2528,15094,0,2528
1,7,5,0,2,1,90,0,0,1,0,0,0,0,1,0,0,0,25,31.4,12,0,4.3,45,0,533085,0,0
11,10,1,4,2,2,74,0,0,0,2,0,0,0,0,0,0,0,8,9.8,3.3,0,1.3,45,-5992,567751,34000,39992
21,3,7,0,3,3,74,0,0,1,0,0,0,0,0,0,0,1,29,11,4.3,2,1.7,45,-43654,533476,29194,72848
31,9,1,2,1,4,90,0,0,0,1,0,0,0,1,0,0,0,10,11.8,3.8,4,2,45,-11093,534553,31566,42659
41,2,8,2,1,5,64,0,0,1,0,0,0,0,0,0,0,2,29,5.4,13.5,2,2.1,45,-22463,518671,22981,45444
56,14,1,3,1,6,79,0,0,0,3,0,0,0,0,0,0,0,8,8.4,6.4,0,1.5,45,23639,557430,60655,37016
1,7,1,0,2,1,7,0,0,0,0,0,0,0,0,0,0,0,4,2.2,10.3,0,1.3,70,0,67198,0,0
11,10,1,4,2,2,6,0,0,0,0,0,0,0,0,0,0,0,1,2.2,0.5,17,2,69,-17931,57718,3918,21849
21,3,1,0,3,3,16,0,0,0,0,0,0,0,0,0,0,0,-1,5.4,10.9,17,3.3,68,-14362,47543,2722,17084
31,9,1,2,1,4,29,0,0,0,0,0,0,0,0,0,0,0,4,7.2,0.7,61,6.9,67,-8641,41747,1525,10166
41,2,1,2,1,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0.4,5,0.3,67,-3885,40171,1594,5479
56,14,1,3,1,6,16,0,0,0,1,0,0,0,0,0,0,0,5,2,0,2,0.4,66,-4503,37407,1067,5570
1,7,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,141711,0,0
11,10,1,4,2,2,6,0,0,0,0,0,0,0,0,0,0,0,6,5,14.3,0,1.9,59,-48857,93669,1122,49979
21,3,1,0,3,3,16,0,0,0,0,0,0,0,0,0,0,0,6,7.4,10.7,17,3.5,59,-11539,89169,7054,18593
31,9,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,-14768,77762,3256,18024
41,2,1,2,1,5,9,0,0,0,0,0,0,0,0,0,0,0,4,3.4,10.9,0,1.4,58,-10373,70354,2997,13370
56,14,1,3,1,6,16,0,0,0,1,0,0,0,0,0,0,0,2,0,0.8,1,0,57,-3725,69914,5845,9570
1,7,6,0,2,1,90,0,1,1,0,0,0,0,0,0,0,0,10,1.8,7.6,36,4.5,80,0,1772492,0,0
11,10,2,4,2,2,83,0,0,0,2,0,0,0,0,0,0,0,18,13.8,43.9,23,8.1,80,-38146,1922750,93462,131608
21,3,3,0,3,3,87,0,0,1,0,0,0,0,0,0,0,0,12,12,29.9,8,5,80,-310888,1658605,67472,378360
