Likes,Comments,Views
4972,1307,87422
28895,6897,707813
22443,300,681002
24496,257,254500
3675,685,85298
15392,1232,297966
24059,3355,805728
926,258,16396
1079,473,16451
115164,5254,4098562
1209,1167,19967
858,162,18992
24017,3549,1148562
64432,5717,4526546
6900,383,114921
406,57,13184
52160,11181,2497202
7292,316,135067
39845,3375,1760155
1708,301,58559
3205,439,84465
1793,185,75483
124490,7455,8830062
2976,131,103500
117231,5092,2657361
35423,1060,1034342
2468,220,37870
1562,130,10503
855,139,24863
1409,122,12041
438812,40924,22439610
199933,22438,17069314
1025,43,14264
2295,1399,179180
25029,2468,1651459
1781,66,33246
2363,725,42216
466063,10976,8324871
7455,300,447522
449,282,4368
6875,227,543947
1872,100,28892
1537,59,41735
21393,1087,1557335
1785,133,19147
15593,1407,607849
1466,321,52695
2498,294,129231
1822,1575,30352
1969,312,82902
2364,307,50941
1639,392,92899
1050,173,79741
82083,6414,2541347
4134,826,77502
1490,237,57446
9401,780,150039
17307,1101,331603
4147,1292,106966
1435534,64164,36868871
20319,2958,190106
599842,39313,23222262
8870,554,834400
697363,18075,18609928
48823,3061,1461872
162408,3151,14118968
283831,9805,12550897
79336,3695,1667301
61689,1928,1284173
8574,723,936041
98519,5633,3020492
15312,595,286969
101465,5079,3487219
44866,2709,1486176
833480,56565,23717752
183765,3810,4181136
7387,566,125674
137796,4891,2064594
1790536,68822,44424347
142,6,2813
626889,35593,14694097
88764,5853,1815856
1602939,61259,54583132
18225,830,1667322
148031,5179,3653854
45763,2234,1208037
157,10,4806
785650,55050,23973948
3867,199,43046
55962,2766,1685445
11620,499,1048056
15641,470,377483
641,32,21129
19007,141,9904507
14868,840,618566
1734,348,35516
8033,404,196801
-1,821,553892
171757,4288,11563268
1075,103,19923
33342,435,269849
346,24,9050
135411,5708,3666465
393,13,12513
59583,523,3442343
18551,2136,504475
1810,13,285609
779,105,41517
17411,441,2322280
4192,198,1010999
4758,141,1266475
8436,398,594480
12970,469,2885013
2672,240,73864
14665,873,1293718
355,21,30215
228,22,12666
19135,1625,4043624
18106,325,7510904
8680,352,1945769
600,18,131716
105,-1,28219
354984,108099,8186585
830,19,239924
3600,18,592173
9641,115,2278082
7247,88,1766202
741,29,117695
22450,705,2188598
20138,-1,5351960
-1,180,2389222
643,0,24012
3963,260,132403
29732,8832,405850
-1,105,1541874
20442,2591,3989464
409,29,45122
26505,794,5903244
5544,196,701005
791,6,128548
179555,6907,65067408
54154,2892,15397832
17,1,2758
280080,7414,52046148
56258,1185,3505369
31601,1250,6301646
85408,5547,3733933
7791,1827,173717
23915,311,6897438
42757,1087,2885056
700,16,18302
55282,576,2586478
51915,876,2197690
118846,3501,3069097
6579,146,313285
16394,864,573706
6386,115,122824
2216,360,87484
2923,49,89486
2970,346,66888
19444,766,609802
12111,467,266203
4238,47,261889
630,86,11642
2353,178,78038
7514,251,195145
56267,1146,2214491
2673,174,76828
2604,78,113661
2020,133,54541
7742,787,271415
30536,742,1332052
4267,70,138290
1760,170,35373
5407,54,309718
26837,555,559680
12875,354,317372
712,130,17259
14986,616,324079
1738,100,32054
36835,1265,1456270
3252,331,99774
7555,442,295344
582,33,10129
3765,74,85503
19969,621,578389
29589,950,718461
43704,1543,800364
20106,616,435863
44518,1273,1058423
71,2,911
16225,454,510592
3759,67,151345
55097,1543,2287752
2313,230,95826
2180,170,31289
2350,162,72414
8896,225,304816
4869,218,101255
39458,744,961789
33471,1176,855620
30398,954,720075
33529,699,677081
11496,324,318051
6314,373,181931
8491,613,202934
6770,537,137791
52388,2362,691573
30071,1490,405989
16028,344,283172
82,14,1352
18486,733,353784
52347,2407,1705786
2611,217,36138
42113,1385,1379849
11283,385,265906
328,90,2661
45878,963,1291584
24954,651,808215
12759,362,323071
193795,19579,6478696
4597,263,107917
54822,1361,1419701
374,21,6573
1218,99,15426
169994,5444,2853947
11283,656,176919
79849,4880,2475429
7774,201,165986
5009,325,67619
17967,1042,470123
46566,3491,1732100
9330,567,320959
57691,2798,1510897
1796,72,47696
3792,337,58850
19112,433,527380
17272,1683,492976
889,69,18154
7665,534,133708
1244,80,23909
3831,187,76643
6545,571,128164
630,221,5663
34468,1223,1085330
25476,1892,512978
1409,91,30465
5556,318,170837
27768,1635,578167
41946,2106,3346948
42940,1735,1407324
43189,1155,2317183
15137,181,906372
36835,1265,1456270
38776,566,2278698
1237,16,32605
30764,929,856628
18982,402,1339489
300789,6254,11814893
13141,382,181827
17219,417,762553
16152,282,605453
44217,1448,872008
559,24,27243
22643,555,508969
16723,372,738202
8812,889,578179
34464,822,1651599
12687,313,367200
29818,1028,854273
27736,692,1432027
176978,7152,10817160
4831,1517,292643
29980,897,1167616
3518,97,127492
26619,1070,1378069
5658,195,132583
9862,205,402110
463331,21849,7497071
18847,76,1414209
10441,172,515395
25161,1188,847233
1151,37,25386
109335,2712,5028230
1520,32,56956
4306,48,238411
413,4,41925
5190,217,145691
15683,1004,879470
3505,408,257103
2712,146,82298
2464,130,192964
7289,158,351087
4759,232,130286
1861,184,37959
9615,648,319957
10259,416,386360
2981,72,431421
5198,443,226152
